在哪儿借书？	借阅室
借书需要什么证件？	具有相应外借功能的国家图书馆读者卡
外借用的读者卡必须是本人的吗？	必须是
其他图书馆的读者卡可以借书吗？	不可以
什么样的读者卡可以借书？	具有相应外借功能的国家图书馆读者卡
借阅区的图书可以带出借阅室吗？	借阅区的图书与光盘不得擅自携出室外，如要带出请先办理借阅手续
怎样借书？	外借图书须持本人具有相应外借功能的国家图书馆读者卡办理外借手续，然后根据借阅准则借书
其他人可以用我的读者卡借书吗？	不可以
图书借阅规则/规定/准则是什么？	"中文图书每次限借3册，图书所附光盘3盘，借期为31天，外文图书每次限借3册，借期为31天。"
哪些书可以外借？	中文图书，外文图书
中文图书借阅规则/规定/准则是什么？	中文图书每次限借3册，图书所附光盘3盘，借期为31天。
每次最多可以借几本书？	每次最多可借三本书
每次最多可以借几本英文图书？	三本
每次最多可以借几本中文图书？	三本
我可以借《xxx》/这本书多久？	您可以借阅《xxx》/这本书31天
借阅期限一般是多久？	图书借期为31天
中文图书和外文图书的借阅期限一样吗？	一样，都为31天
外文图书借阅规则/规定/准则是什么？	外文图书每次限借3册，借期为31天。
中文图书和外文图书借阅时有区别吗？有什么区别？	有，中文图书提供续借，外文图书不提供续借
图书光盘可以借阅吗？	可以，每次限借三盘。
图书光盘可以借多久？	图书光盘借期为31天
借阅期限满了怎么办？	"外借图书与光盘必须按期归还, 逾期归还须交纳逾期使用费，如果您任想保留图书可办理续借手续"
什么是续借？	续借是指在图书规定的借用期期满以后，继续借用该图书
如何办理续集手续？	读者凭本人读者卡（在有效期内，无欠费记录）登录我馆联机公共检索目录查询系统（OPAC）办理续借
在哪办理续借手续？	我馆联机公共检索目录查询系统
联机公共检索目录查询系统怎么登陆？	读者凭本人读者卡登陆
欠费的读者卡可以登陆联机公共检索目录吗？	不可以
登陆联机公共检索目录的读者卡有什么要求？	在有效期内，无欠费记录
其他人可以用我的读者卡续借吗？	可以
为什么《xxx》不能续借？	请核查《xxx》是否为外文图书，或者是逾期未还的图书、已被其他读者预约的中文图书
哪些书可以续借？	具有中文图书外借功能者，自动拥有中文图书续借功能；外文图书暂不提供续借功能
续借准则是什么/有哪些？	1.可以外借的中文书，自动拥有续借功能，外文图书不提供续借。2，每册图书可续借1次。续借期为31天，即在续借操作执行日期起加31天计算。3.借书当日对所借图书提交续借请求无效，4.逾期未还的图书、已被其他读者预约的图书不能续借
中文图书能否续借？	能，但逾期未还的图书、已被其他读者预约的图书不能续借
外文图书能否续借？	不能，外文图书暂不提供续借功能
图书可以一直续借吗？	不能
图书可续借多少次？	每册图书只可续借1次。
续借期限为多久？	续借期为31天，即在续借操作执行日期起加31天计算。
