我该怎么办证	您想要办哪种证
图书证有几种	读者卡，少年儿童馆读者卡，第二代身份证
办证有几种方式	到馆填写申请表和直接持第二代身份证以及互联网注册
申请者需满足什么条件	任何人，但是需要持有效身份证件，16岁以下需要监护人陪同
少年儿童馆读者卡怎么办理	由监护人陪同，持本人和监护人有效身份证件原件及复印件，到馆填写《国家图书馆少年儿童图书馆读者卡申请表》后办理。不提供任何形式的委托办理、他人代办，首次办理时免除工本费。
第二代身份证怎么当作读者卡用	持本人第二代身份证直接进入开架阅览室。
有效身份证件包括哪些	身份证、户口簿、护照、港澳居民来往内地通行证、台湾居民来往大陆通行证，外国人永久居留身份证，未满13周岁少年儿童可以使用学籍卡
读者卡的功能是什么	普通阅览室开架、闭架阅览；馆区数字资源用机服务；馆区无线网服务；部分远程数字资源服务；中国公民可开通外借、金融功能；13-16岁用户仅有：普通阅览室开架阅览；少年儿童馆阅览；少年儿童馆数字资源用机服务。
部分远程数字资源服务包括什么	点击链接即可查询
馆区wifi名字和密码是多少	请您出示您的读者卡
馆区wifi名字和密码是多少	zggjtsg 12345678
少年儿童馆读者卡的功能是什么	少年儿童馆阅览；少年儿童馆数字资源用机服务
互联网注册怎么操作	您是实名注册还是非实名注册
实名注册怎么办	读者可通过国家图书馆网站或移动互联网提供的各类在线服务平台进行注册（详见：互联网注册方法）。注册时，需填写基本信息以及真实姓名、性别、民族、身份证号等身份信息，系统审核通过后，即可成为实名注册用户。
非实名注册怎么办	读者可通过国家图书馆网站或移动互联网提供的各类在线服务平台进行注册（详见：互联网注册方法）。注册时，需填写基本信息，并通过电子邮件或手机验证码进行有效性验证后即可成为非实名注册用户。
互联网实名用户的功能是什么	部分远程数字资源服务（具体资源点击链接即可查询）
互联网非实名用户的功能是什么	部分远程数字资源服务（具体资源点击链接即可查询）
实名注册和非实名注册可以浏览的资源有什么区别吗	可阅读的资源非实名用户要少一些
读者卡在哪办理	总馆北区二层北侧  总馆南区南门一层东侧  古籍馆文津楼一层东侧(A206室) 
少年儿童馆读者卡在哪办理	少年儿童馆：入口咨询台
读者卡什么时候能找人办理	总馆北区总馆南区都是周一至周日：09:00—16:30，古籍馆是 周一至周五：09:00—16:30
加减功能时间是什么意思	读者卡、少年儿童图书馆读者卡的阅览功能实行注册制度。持卡三年后（少年儿童图书馆读者卡为一年），需到办证处验证注册。未如期注册的读者卡、少年儿童图书馆读者卡的阅览功能将被置停；如需恢复使用，须持本人身份证件原件、读者卡到办证处办理验证注册手续，不得由他人代办。
少年儿童馆读者卡什么时候能找人办理	周一至周日：09:00—16:30。
读者卡的使用方法是什么	读者在阅览室门口的验证处通过读卡机确认证件有效后，即可入内。持卡者须遵守国家图书馆借阅规则及相关规定。违反规定情节严重者，其读者卡将被置停，待接受处理并纠正后恢复使用。
少年儿童馆读者卡的使用方法是什么	读者在阅览室门口的验证处通过读卡机确认证件有效后，即可入内。持卡者须遵守国家图书馆借阅规则及相关规定。违反规定情节严重者，其读者卡将被置停，待接受处理并纠正后恢复使用。
第二代身份证的使用方法是什么	读者在阅览室门口的验证处通过读卡机确认证件有效后，即可入内。持卡者须遵守国家图书馆借阅规则及相关规定。违反规定情节严重者，其读者卡将被置停，待接受处理并纠正后恢复使用。
读者卡有使用期限吗	读者卡、少年儿童图书馆读者卡的阅览功能实行注册制度。读者卡期限为三年，少年儿童图书馆读者卡为一年
超过期限了怎么办	需到办证处验证注册。未如期注册的读者卡、少年儿童图书馆读者卡的阅览功能将被置停；如需恢复使用，须持本人身份证件原件、读者卡到办证处办理验证注册手续，不得由他人代办。
读者卡的金融功能怎么开通	普通读者卡在馆区充值后即可获得金融功能，未满16周岁读者须由监护人到办证处代为人工办理。
读者卡的外借功能怎么开通	办理中文图书外借功能交纳押金100元，办理外文图书外借功能交纳押金1000元。
读者卡的金融功能是什么	金融功能指读者卡具有的储值并在图书馆馆区内消费（仅限复印、打印消费）的功能，
押金可以退吗	可以
押金怎么退	退押金时，须到相应阅览室/服务点还清所借图书，确认无欠款后，由本人持读者卡、身份证原件、押金收据到办证处办理退押金手续；若委托他人代为办理，还须同时提交代理人的有效身份证原件。13-16岁，须由监护人办理，携带办卡时监护人及持卡人的有效身份证件原件及复印件办理。 
我的押金收据丢了怎么办	如果不慎将押金收据丢失，应主动挂失。在履行相应的退功能手续后，由本人持有效身份证件原件及复印件取回押金；若委托他人办理无押金收据退押金时，还需同时提交代理人的有效身份证原件及复印件。
退押金什么时候可以办理	每日16：30前可办理退押金手续。详情请咨询国家图书馆办证处（电话：010-88545243）
办证处咨询电话是什么	010-88545243
我的读者卡丢了怎么办	读者卡丢失须到相应办证处挂失。若又找到原卡，可凭本人有效身份证件到相应办证处解除挂失。未找到原读者卡，凭本人有效身份证件交工本费（5元/卡）补办新卡，原读者卡同时作废。押金仍然有效。
我的少年儿童馆读者卡丢了怎么办	少年儿童图书馆读者卡丢失须到相应办证处挂失。若又找到原卡，可凭本人有效身份证件到相应办证处解除挂失。未找到原读者卡，凭本人有效身份证件交工本费（5元/卡）补办新卡，原读者卡同时作废。押金仍然有效。
补办后押金还在吗	押金仍然有效。
有没有其他需要注意的	其他注意事项：每人限办一张读者卡/少年儿童图书馆读者卡。 读者卡/少年儿童图书馆读者卡只限本人使用，请勿转借。读者卡/少年儿童图书馆读者卡只面向个人用户办理，不提供任何形式的异地办理与集体/他人代办。
阅览室和服务点的工作时间是什么	请参照网页http://www.nlc.cn/dsb_zyyfw/wdtsg/dzzn/dsb_kgsj/
我未满18周岁可以办理读者卡吗	那您满16周岁了吗
办卡有工本费吗	首次办理时免除工本费，补办新卡工本费（5元/卡）
我的读者卡可以借给别人用吗	读者卡/少年儿童图书馆读者卡只限本人使用，请勿转借。
有没有手机端的app	掌上国图、国家图书馆手机应用程序
我满16岁了，但是没到18可以自己办卡吗	不可以，必须有监护人陪同
我只带了身份证，可以去闭架阅览吗	不可以，您需要办理读者卡
我有读者卡，我可以带着自己的孩子一起去吗	不可以，您需要办理少年儿童馆读者卡
实名用户注册需要些什么	注册时，需填写基本信息以及真实姓名、性别、民族、身份证号等身份信息
我是读者卡，可以去少年儿童馆吗	您如果是13-16岁的用户，可以去，如果是16岁以上，不可以
我到总区北馆，可以办理少年儿童馆的读者卡吗	不可以，您需要去少年儿童馆的入口咨询台
我16岁可以自助办理读者卡吗	可以
我18岁可以将书借回家吗	可以，办理中文图书外借功能交纳押金100元，办理外文图书外借功能交纳押金1000元。
读者卡可以使用图书馆里的电脑吗	可以
如果违反了相关规定会怎么样	违反规定情节严重者，其读者卡将被置停，待接受处理并纠正后恢复使用。
古籍馆周日可以办卡吗	不可以，古籍馆自助办卡时间为周一至周五：09:00—16:30，人工办卡时间为周一至周五：09:00—16:30。 
现在晚上7点了，还可以办卡吗	您可以到总馆北区二层北侧 进行自助办理
互联网注册的几个网站注册的账户一样吗	一样
我想打印一下文档应该怎么办	普通读者卡在馆区充值后即可获得金融功能，即可使用打印功能，未满16周岁读者须由监护人到办证处代为人工办理
办理读者卡需要填什么东西吗	《国家图书馆读者卡申请表》
我是一名军人没带身份证但是带了军人证可以办理读者卡吗	可以，军人证也是有效身份证件
可以找别人代办吗	不提供任何形式的异地办理、他人代办
我是一个美国人，需要什么证件才能办理读者卡	护照或者外国人永久居留身份证
我是一个美国人，外借英文书免费吗	收费，办理中文图书外借功能交纳押金100元，办理外文图书外借功能交纳押金1000元。
退押金的时候没有带身份证复印件可以吗	不，由本人持有效身份证件原件及复印件取回押金
办押金可以委托别人帮忙吗	可以，若委托他人办理无押金收据退押金时，还需同时提交代理人的有效身份证原件及复印件。
我的押金收据丢了可以补吗	读者卡各项功能的押金收据须妥善保存，遗失不补。
我想买水，可以用读者卡吗	不可以，读者卡的金融功能仅限复印、打印消费
用手机号可以进行网上注册吗	可以通过手机验证码进行有效性验证后即可成为非实名注册用户。
少年儿童馆有电脑可以用吗	有，提供了少年儿童馆数字资源用机服务
我是一个美国人，可以找人代办读者卡吗	不提供任何形式的异地办理、他人代办
我没带身份证可以办读者卡吗	不可以，办理读者卡须本人持有效身份证件，包括身份证、户口簿、护照、港澳居民来往内地通行证、台湾居民来往大陆通行证，外国人永久居留身份证
我没带身份证可以进阅览室吗	那您带了其他证件吗
我没带读者卡可以进阅览室吗	那您带了其他证件吗
在哪看书	阅览室
怎样进入阅览室	读者在阅览室门口的验证处通过读卡机确认证件有效后，即可入内。
我的读者卡被置停了怎么办	如需恢复使用，须持本人身份证件原件、读者卡到办证处办理验证注册手续，不得由他人代办。
办理少年儿童馆读者卡没有监护人行不行	不行
办理少年儿童馆读者卡监护人没带身份证行不行	不行
我马上16岁了，能不能办理读者卡	您只能由监护人陪同13-15岁的读者卡
我可以用别人的身份证去阅览室吗	不行，需要持本人的身份证
我是13-15岁的读者卡可以闭架阅览吗	不行
用邮箱可以网上注册吗	可以
怎么用邮箱进行网上注册	通过电子邮件进行有效性验证后即可成为非实名注册用户。
怎么用手机号进行网上注册	通过手机验证码进行有效性验证后即可成为非实名注册用户。
互联网实名注册需要审核吗	需要
互联网实名注册需要证件吗	持中华人民共和国居民身份证
互联网注册需要填表吗	不需要
互联网注册后可以到馆进行阅览吗	不可以，需要办理读者卡
互联网注册有年龄限制吗	没有
办理读者卡有年龄限制吗	有，未满13岁只能办理少年儿童馆读者卡，13-15岁只能由监护人陪同办理，16岁以上无限制
只能中国人办理读者卡吗	任何人都可以
网上咨询台的网站是什么	www.nlc.cn/dsb_zyyfw/wdtsg/wszxt/
